vek;pohlavie;roky praxe;panas1;panas2;panas3;panas4;panas5;panas6;panas7;panas8;panas9;panas10;panas11;panas12;panas13;panas14;panas15;panas16;panas17;panas18;panas19;panas20;framingpoz_cas;framing pozitivny;framingneg_cas;framing negativny;1cas;1odpoved;1vyhodnotenie;2cas;2odpoved;2vyhodnotenie;3cas;3odpoved;3vyhodnotenie;4cas;4odpoved;4vyhodnotenie;5cas;5odpoved;5vyhodnotenie;6cas;6odpoved;6vyhodnotenie;7cas;7odpoved;7vyhodnotenie;8cas;8odpoved;8vyhodnotenie;9cas;9odpoved;9vyhodnotenie;10cas;10odpoved;10vyhodnotenie;11cas;11odpoved;11vyhodnotenie;12cas;12odpoved;12vyhodnotenie;13cas;13odpoved;13vyhodnotenie;14cas;14odpoved;14vyhodnotenie;15cas;15odpoved;15vyhodnotenie;16cas;16odpoved;16vyhodnotenie;17cas;17odpoved;17vyhodnotenie;18cas;18odpoved;18vyhodnotenie;19cas;19odpoved;19vyhodnotenie;20cas;20odpoved;20vyhodnotenie;21cas;21odpoved;21vyhodnotenie;22cas;22odpoved;22vyhodnotenie;23cas;23odpoved;23vyhodnotenie;24cas;24odpoved;24vyhodnotenie;25cas;25odpoved;25vyhodnotenie;26cas;26odpoved;26vyhodnotenie;27cas;27odpoved;27vyhodnotenie;28cas;28odpoved;28vyhodnotenie;29cas;29odpoved;29vyhodnotenie;30cas;30odpoved;30vyhodnotenie;31cas;31odpoved;31vyhodnotenie;32cas;32odpoved;32vyhodnotenie;33cas;33odpoved;33vyhodnotenie;34cas;34odpoved;34vyhodnotenie;35cas;35odpoved;35vyhodnotenie;36cas;36odpoved;36vyhodnotenie;37cas;37odpoved;37vyhodnotenie;38cas;38odpoved;38vyhodnotenie;39cas;39odpoved;39vyhodnotenie;40cas;40odpoved;40vyhodnotenie;41cas;41odpoved;41vyhodnotenie;42cas;42odpoved;42vyhodnotenie;43cas;43odpoved;43vyhodnotenie;44cas;44odpoved;44vyhodnotenie;45cas;45odpoved;45vyhodnotenie;46cas;46odpoved;46vyhodnotenie;47cas;47odpoved;47vyhodnotenie;48cas;48odpoved;48vyhodnotenie;49cas;49odpoved;49vyhodnotenie;50cas;50odpoved;50vyhodnotenie;51cas;51odpoved;51vyhodnotenie;52cas;52odpoved;52vyhodnotenie;53cas;53odpoved;53vyhodnotenie;54cas;54odpoved;54vyhodnotenie;55cas;55odpoved;55vyhodnotenie;56cas;56odpoved;56vyhodnotenie;57cas;57odpoved;57vyhodnotenie;58cas;58odpoved;58vyhodnotenie;59cas;59odpoved;59vyhodnotenie;60cas;60odpoved;60vyhodnotenie;61cas;61odpoved;61vyhodnotenie;62cas;62odpoved;62vyhodnotenie;63cas;63odpoved;63vyhodnotenie;64cas;64odpoved;64vyhodnotenie;65cas;65odpoved;65vyhodnotenie;66cas;66odpoved;66vyhodnotenie;67cas;67odpoved;67vyhodnotenie;68cas;68odpoved;68vyhodnotenie;69cas;69odpoved;69vyhodnotenie;70cas;70odpoved;70vyhodnotenie;71cas;71odpoved;71vyhodnotenie;72cas;72odpoved;72vyhodnotenie;73cas;73odpoved;73vyhodnotenie;74cas;74odpoved;74vyhodnotenie;75cas;75odpoved;75vyhodnotenie;76cas;76odpoved;76vyhodnotenie;77cas;77odpoved;77vyhodnotenie;78cas;78odpoved;78vyhodnotenie;79cas;79odpoved;79vyhodnotenie;80cas;80odpoved;80vyhodnotenie;81cas;81odpoved;81vyhodnotenie;82cas;82odpoved;82vyhodnotenie;83cas;83odpoved;83vyhodnotenie;84cas;84odpoved;84vyhodnotenie;85cas;85odpoved;85vyhodnotenie;86cas;86odpoved;86vyhodnotenie;87cas;87odpoved;87vyhodnotenie;88cas;88odpoved;88vyhodnotenie;89cas;89odpoved;89vyhodnotenie;90cas;90odpoved;90vyhodnotenie;91cas;91odpoved;91vyhodnotenie;92cas;92odpoved;92vyhodnotenie;93cas;93odpoved;93vyhodnotenie;94cas;94odpoved;94vyhodnotenie;95cas;95odpoved;95vyhodnotenie;96cas;96odpoved;96vyhodnotenie;97cas;97odpoved;97vyhodnotenie;98cas;98odpoved;98vyhodnotenie;99cas;99odpoved;99vyhodnotenie;100cas;100odpoved;100vyhodnotenie;PNS1;PNS2;PNS3;PNS4;PNS5;PNS6;PNS7;PNS8;PNS9;PNS10;PNS11;PNS12;REI1;REI2;REI3;REI4;REI5;REI6;REI7;REI8;REI9;REI10;REI11;REI12;REI13;REI14;REI15;REI16;REI17;REI18;REI19;REI20;REI21;REI22;REI23;REI24;REI25;REI26;REI27;REI28;REI29;REI30;REI31;REI32;REI33;REI34;REI35;REI36;REI37;REI38;REI39;REI40;cislelny kod;nalada

36;M;10;2;1;1;1;2;2;2;1;2;3;2;3;2;3;1;2;2;1;3;2;8599;a;7104;b;2896;yellow;false;1640;black;false;1336;yellow;false;1207;red;true;1032;yellow;false;4304;red;false;2512;red;true;1192;yellow;true;2032;red;true;1528;black;true;1752;yellow;true;2768;red;false;1184;yellow;false;2816;yellow;true;3352;red;false;1736;black;true;1904;yellow;false;4527;yellow;false;1552;black;true;1177;yellow;true;2135;red;true;1416;yellow;true;1392;red;true;1456;black;true;1208;yellow;false;1521;red;true;1079;yellow;true;1784;yellow;false;1480;yellow;false;1464;black;true;1632;yellow;false;968;yellow;true;1440;red;true;840;yellow;true;1352;red;false;832;yellow;false;1360;yellow;false;1384;yellow;true;3440;red;true;1287;yellow;false;2008;red;true;1144;yellow;true;1944;red;false;1232;black;true;1224;yellow;true;1880;yellow;false;1312;yellow;true;1408;red;false;1104;yellow;true;2024;red;true;1176;yellow;false;1193;black;false;2287;yellow;false;2352;red;true;1424;yellow;false;1144;red;false;984;yellow;false;1272;yellow;true;2984;red;true;1855;black;true;1200;yellow;true;2720;black;true;1256;yellow;false;1192;red;false;816;yellow;false;1512;black;true;1048;yellow;false;1288;red;true;1320;black;true;928;yellow;true;1256;red;true;800;yellow;true;1608;red;true;1320;black;true;992;yellow;false;3152;red;true;1112;yellow;true;2032;red;true;1128;yellow;false;832;black;true;976;yellow;false;1376;yellow;true;1031;red;true;800;yellow;true;1256;yellow;false;1985;red;true;1071;yellow;false;928;yellow;true;833;red;true;927;yellow;false;688;red;true;672;yellow;true;1656;red;true;1168;black;true;1168;yellow;true;848;yellow;false;744;red;false;560;yellow;true;1336;yellow;true;1968;red;true;4;3;5;5;3;4;4;4;3;3;4;3;3;3;4;4;4;3;3;3;3;4;4;3;5;3;5;3;3;4;3;3;4;3;3;3;3;4;4;4;2;3;3;5;3;4;3;3;3;4;3;3;99875;negative
36;M;17;1;1;1;1;4;1;1;1;3;4;1;3;1;3;2;5;5;1;4;1;56506;a;49763;a;7415;green;true;7688;red;true;5239;green;true;41652;red;true;5791;green;true;13127;yellow;true;18630;red;true;4232;yellow;true;4656;red;true;11398;black;true;5880;yellow;true;5919;black;true;7584;yellow;false;5535;yellow;true;8239;green;true;3528;black;true;5663;green;true;5152;yellow;false;2847;black;true;3632;yellow;true;4584;red;true;5207;yellow;true;4736;red;true;4855;black;true;3504;green;true;7335;red;true;4632;yellow;true;10215;red;true;7831;green;true;2164;black;true;2108;green;true;2743;yellow;true;3152;red;true;4176;yellow;true;4039;green;true;4592;red;true;4015;green;true;7024;yellow;true;4327;red;true;2640;green;true;4152;red;true;2895;yellow;true;2976;red;false;2616;black;true;4031;yellow;true;3560;green;true;5464;yellow;true;7271;yellow;true;4151;yellow;true;2344;red;true;3208;green;true;6271;red;true;2288;green;true;3336;red;true;1936;green;true;2961;yellow;true;10071;red;true;2280;yellow;true;10935;yellow;false;7807;black;true;5695;yellow;true;2192;black;true;6480;yellow;false;5951;yellow;true;2760;green;true;2336;black;true;5503;green;true;5656;yellow;false;2168;black;true;4456;yellow;true;3583;red;true;5552;yellow;true;4128;red;true;2288;black;true;3679;green;true;3840;red;true;2720;yellow;true;3480;red;true;9023;green;true;2040;black;true;4096;green;true;6015;yellow;true;4920;red;true;4544;yellow;true;2456;green;true;2584;red;true;8439;green;true;4632;yellow;true;2455;red;true;2056;green;true;2928;red;true;5816;yellow;true;3192;red;true;1791;black;true;3696;yellow;true;1944;green;true;3872;yellow;true;2680;yellow;true;2360;yellow;true;2583;red;true;5;2;5;4;2;4;5;4;5;3;3;5;4;2;5;3;5;2;6;1;5;1;5;2;4;1;6;2;6;2;4;1;4;2;3;1;4;1;6;2;4;2;6;1;6;3;5;2;5;2;3;5;641811;positive
27;M;5;2;1;3;2;3;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;51551;a;9900;b;8214;green;true;15458;red;true;8992;green;true;4291;yellow;false;2899;yellow;false;2040;red;false;4048;yellow;false;3512;yellow;true;2721;red;true;2531;black;true;7075;yellow;true;2920;black;true;16527;yellow;false;3395;yellow;true;2820;yellow;false;4907;black;true;3357;green;true;5555;yellow;false;3135;black;true;3760;yellow;true;7280;red;true;2775;yellow;true;4035;yellow;false;4645;black;true;2814;green;true;7026;red;true;2639;yellow;true;4216;yellow;false;3937;yellow;false;2070;black;true;5850;yellow;false;5400;yellow;true;3454;yellow;false;4857;yellow;true;8953;yellow;false;6130;red;true;4619;green;true;2322;yellow;true;5007;yellow;false;5439;green;true;2521;yellow;false;5119;yellow;true;3130;red;false;2176;black;true;4968;yellow;true;1568;green;true;2656;yellow;true;1736;red;false;5439;yellow;true;9003;yellow;false;1876;green;true;3074;yellow;false;1485;green;true;2935;yellow;false;1105;green;true;1961;yellow;true;7191;yellow;false;1175;yellow;true;1218;yellow;false;2991;black;true;5250;yellow;true;2536;black;true;6823;yellow;false;2135;yellow;true;2312;green;true;1585;black;true;2422;green;true;4177;yellow;false;1551;black;true;2161;yellow;true;2096;yellow;false;3337;yellow;true;2516;yellow;false;70;yellow;false;610;yellow;false;1019;yellow;false;7449;yellow;true;2814;yellow;false;2752;green;true;1801;black;true;1975;green;true;7032;yellow;true;1639;yellow;false;1336;yellow;true;1273;green;true;2840;yellow;false;1249;green;true;1904;yellow;true;2342;yellow;false;4057;green;true;1361;yellow;false;480;green;false;255;yellow;false;305;green;false;240;yellow;true;8536;green;true;640;green;false;174;green;false;180;green;false;165;green;false;3;3;3;1;5;5;2;2;2;2;5;2;5;2;5;4;3;2;5;3;5;3;2;3;5;2;4;3;4;4;3;4;4;3;4;4;3;4;3;4;3;3;3;4;3;4;4;3;3;3;3;4;559466;negative
54;M;30;3;3;2;4;1;1;2;2;2;2;4;4;2;2;4;3;3;3;1;1;6152;b;5799;b;2480;green;true;3456;yellow;false;2544;green;true;4160;green;false;1535;green;true;3512;red;false;11936;yellow;false;2480;green;false;3840;yellow;false;2064;black;true;4239;green;false;1696;black;true;7344;green;false;6240;green;false;1912;green;true;1856;black;true;2208;green;true;3431;green;false;1912;black;true;3728;green;false;4760;green;false;4600;green;false;2696;green;false;4888;black;true;1552;green;true;2383;red;true;5024;green;false;3480;green;false;1612;green;true;1508;black;true;2400;green;true;4720;green;false;2104;yellow;false;3024;green;false;791;green;true;5647;yellow;false;1768;green;true;5672;green;false;4544;green;false;3144;green;true;2160;green;false;2048;green;false;1183;red;false;1753;black;true;3391;green;false;2512;green;true;4168;green;false;1328;red;false;7152;green;false;3840;yellow;false;2160;green;true;6439;yellow;false;1648;green;true;5560;yellow;false;2496;green;true;3400;red;false;5968;green;false;2503;green;false;4456;yellow;false;2625;black;true;2943;green;false;1872;black;true;3712;green;false;6136;green;false;1704;green;true;1464;black;true;1983;green;true;2448;yellow;false;1536;black;true;2160;green;false;2280;green;false;6792;green;false;5352;yellow;false;1264;black;true;1679;green;true;1496;red;true;5784;green;false;3336;yellow;false;2080;green;true;1384;black;true;1496;green;true;2264;green;false;3448;yellow;false;5711;green;false;1032;green;true;4904;yellow;false;2648;green;true;2832;green;false;7480;yellow;false;2352;green;true;3992;yellow;false;1671;green;false;1104;red;true;1416;black;true;3416;green;false;888;green;true;2400;green;false;1368;red;false;5096;green;false;984;green;false;4;4;4;5;4;3;4;4;5;4;3;4;3;4;2;3;4;3;2;3;2;3;3;3;5;5;3;4;2;3;3;3;4;3;2;2;3;3;4;3;4;3;3;3;3;3;4;3;4;3;3;3;451718;negative
-1;M;-1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2498;b;3150;b;1911;green;true;904;red;true;1034;green;true;7581;red;true;842;green;true;779;yellow;true;2132;red;true;994;yellow;true;714;red;true;2158;black;true;918;yellow;true;869;black;true;2168;red;true;829;yellow;true;933;green;true;2352;black;true;1075;green;true;853;red;true;2587;black;true;855;yellow;true;692;red;true;2522;yellow;true;740;red;true;701;black;true;1881;green;true;1285;red;true;756;yellow;true;4586;red;true;1240;green;true;918;black;true;3521;green;true;817;yellow;true;1373;red;true;3250;yellow;true;804;green;true;843;red;true;3197;green;true;861;yellow;true;706;red;true;3926;green;true;1340;red;true;877;yellow;true;3351;red;true;741;black;true;1150;yellow;true;2829;green;true;1957;yellow;true;495;yellow;true;2153;yellow;true;928;red;true;1112;green;true;2462;red;true;1111;green;true;1316;red;true;3917;green;true;830;yellow;true;739;red;true;3160;yellow;true;766;red;true;687;black;true;3222;yellow;true;1058;black;true;739;red;true;2574;yellow;true;867;green;true;1152;black;true;2183;green;true;1110;red;true;778;black;true;2245;yellow;true;1485;red;true;829;yellow;true;2474;red;true;955;black;true;971;green;true;3610;red;true;880;yellow;true;840;red;true;2732;green;true;991;black;true;1228;green;true;2107;yellow;true;828;red;true;804;yellow;true;4115;green;true;970;red;true;868;green;true;1919;yellow;true;854;red;true;997;green;true;2479;red;true;753;yellow;true;730;red;true;2054;black;true;920;yellow;true;816;green;true;2221;yellow;true;749;yellow;true;835;yellow;true;993;red;true;1;5;2;2;5;5;2;2;2;2;5;2;6;2;5;5;2;2;5;2;5;2;2;2;5;2;5;2;5;5;2;5;5;2;5;5;2;5;2;5;2;2;2;5;2;5;5;2;2;2;2;5;860131;negative
44;M;23;1;1;1;2;2;1;2;1;2;3;2;2;1;3;2;3;2;2;4;1;24975;a;38823;a;11448;green;true;12119;red;true;5064;green;true;5351;red;true;4266;green;true;9502;red;false;16552;red;true;7567;yellow;true;7680;yellow;false;7672;black;true;15463;yellow;true;5552;black;true;6072;yellow;false;7576;yellow;true;9703;green;true;5928;black;true;5504;green;true;14703;red;true;3440;black;true;4992;yellow;true;5760;red;true;8680;yellow;true;6231;red;true;2496;black;true;4208;green;true;12831;red;true;8576;yellow;true;6424;red;true;8848;yellow;false;4207;black;true;3360;green;true;4936;yellow;true;4352;red;true;10008;yellow;true;6151;green;true;4232;red;true;2785;red;false;12191;yellow;true;4016;red;true;3167;green;true;5144;red;true;4160;yellow;true;4296;red;false;3256;black;true;5208;yellow;true;3688;green;true;3816;yellow;true;4312;red;false;4704;yellow;true;5191;red;true;3232;green;true;6792;red;true;4743;green;true;6264;red;true;6192;green;true;4936;red;false;6952;red;true;5023;yellow;true;16872;yellow;false;5096;black;true;5064;yellow;true;5295;black;true;5040;yellow;false;3784;yellow;true;3424;green;true;2433;black;true;2535;green;true;2800;red;true;2904;black;true;3799;yellow;true;2952;red;true;4328;yellow;true;4440;red;true;2848;black;true;4368;green;true;4536;red;true;6063;yellow;true;3617;red;true;4568;yellow;false;2847;black;true;3184;green;true;2528;yellow;true;2496;red;true;4240;yellow;true;2880;green;true;1967;red;true;2088;green;true;3896;yellow;true;3497;red;true;4391;green;true;3032;red;true;4232;yellow;true;4271;red;true;2344;black;true;3784;yellow;true;1528;green;true;3112;yellow;true;1976;red;false;4552;yellow;true;2136;red;true;2;4;6;5;3;4;3;3;3;4;5;5;4;2;4;5;4;2;3;2;4;2;2;2;3;4;3;2;3;4;3;5;3;2;1;3;3;3;5;3;3;2;4;2;6;3;4;4;5;3;3;4;921350;negative
44;F;26;3;2;3;1;3;1;1;1;3;3;1;4;1;3;1;4;4;1;4;1;40478;a;24182;a;6720;green;true;11631;red;true;8032;green;true;11191;red;true;5928;green;true;18294;yellow;true;9800;yellow;false;8239;yellow;true;4168;red;true;18335;red;false;7112;yellow;true;5743;black;true;7168;red;true;6191;red;false;3872;green;true;3376;black;true;4824;green;true;18439;yellow;false;2679;black;true;7192;yellow;true;9103;red;true;36134;yellow;true;3104;red;true;1424;black;true;2104;green;true;6407;red;true;2873;yellow;true;1463;red;true;2808;green;true;1536;black;true;1816;green;true;4768;yellow;true;1400;red;true;3007;yellow;true;3280;green;true;2328;red;true;3712;green;true;6895;yellow;true;2400;red;true;2344;green;true;4632;red;true;13799;yellow;true;16424;red;false;8766;black;true;12640;yellow;true;6063;green;true;6512;green;false;2880;yellow;true;1976;yellow;true;4119;red;true;24367;green;true;2624;red;true;1488;green;true;2000;red;true;4031;green;true;4952;red;false;5218;red;true;61564;yellow;true;11087;red;true;3928;black;true;5824;red;false;2959;black;true;12760;red;true;2551;yellow;true;2488;green;true;9248;black;true;19879;green;true;2032;yellow;false;16430;black;true;14784;yellow;true;6351;red;true;1240;yellow;true;1488;red;true;1168;black;true;1520;green;true;1248;red;true;2132;yellow;true;1228;red;true;8095;green;true;3208;black;true;5616;green;true;5999;yellow;true;1888;red;true;2008;yellow;true;1600;green;true;2080;red;true;1272;green;true;1344;yellow;true;1272;red;true;1775;green;true;1792;red;true;1336;yellow;true;976;red;true;1200;black;true;1680;yellow;true;1248;green;true;1144;yellow;true;808;yellow;true;880;yellow;true;1272;red;true;4;2;6;6;1;2;5;5;4;5;2;4;6;5;5;5;6;1;6;5;5;3;2;2;5;1;6;1;6;3;6;2;4;4;1;2;5;4;5;2;5;2;5;3;5;5;5;2;5;1;5;6;16995;positive
24;M;3;1;1;1;2;2;1;1;1;2;1;1;4;1;4;1;5;5;1;4;1;104171;a;39711;b;10647;green;true;8880;red;true;11735;green;true;12080;yellow;false;5119;green;true;19736;red;false;7295;red;true;45375;red;false;24654;yellow;false;3616;black;true;9816;yellow;true;13441;black;true;23189;red;true;9415;yellow;true;5176;green;true;3823;black;true;3104;green;true;7047;green;false;1840;black;true;4320;yellow;true;33236;yellow;false;4376;yellow;true;5279;yellow;false;3264;black;true;2936;green;true;7655;yellow;false;144642;yellow;true;2831;yellow;false;2824;yellow;false;2960;black;true;39660;green;true;1632;yellow;true;4479;yellow;false;2568;yellow;true;1688;green;true;4503;yellow;false;2456;green;true;17990;yellow;true;4392;yellow;false;1703;green;true;2320;yellow;false;2744;yellow;true;3024;red;false;1616;black;true;2560;yellow;true;4375;green;true;45684;yellow;true;3543;red;false;1144;yellow;true;4168;yellow;false;3351;green;true;3880;red;true;3447;green;true;3872;yellow;false;3752;green;true;4967;yellow;true;2936;red;true;48363;yellow;true;3488;yellow;false;182324;red;false;2767;yellow;true;2032;black;true;6248;yellow;false;2424;yellow;true;2648;green;true;1416;black;true;2392;green;true;3295;yellow;false;2488;black;true;7776;yellow;true;5912;yellow;false;2919;yellow;true;4120;yellow;false;2784;black;true;5024;green;true;4072;yellow;false;5511;yellow;true;3472;yellow;false;5984;green;true;1624;black;true;3136;green;true;5543;yellow;true;4656;red;true;3248;yellow;true;2104;green;true;3240;yellow;false;4664;green;true;4431;yellow;true;5608;yellow;false;3040;green;true;2176;yellow;false;1992;yellow;true;5015;yellow;false;1337;black;true;1615;yellow;true;2232;green;true;2608;yellow;true;1864;red;false;1640;yellow;true;1584;yellow;false;2;4;4;3;4;3;3;4;3;3;4;4;2;4;3;3;3;3;3;4;5;3;3;4;4;4;4;6;1;2;5;1;3;4;3;3;3;3;3;4;3;6;5;2;5;2;3;4;4;3;2;6;644144;negative
50;F;30;1;2;2;1;3;1;1;1;2;2;1;3;1;2;2;4;4;1;4;1;86077;a;66454;b;17103;green;true;19127;red;true;18767;green;true;24527;red;true;5552;green;true;14543;red;false;21104;red;true;8343;yellow;true;10624;yellow;false;9480;black;true;10751;yellow;true;10344;black;true;16063;yellow;false;7024;green;false;6056;green;true;6559;black;true;10424;green;true;10864;red;true;10007;black;true;4368;green;false;16216;red;true;7959;green;false;3640;yellow;false;7104;black;true;5360;green;true;8999;yellow;false;14648;green;false;9016;yellow;false;10775;green;true;5824;black;true;6383;green;true;12704;green;false;8200;yellow;false;9303;green;false;5232;green;true;10512;yellow;false;3944;green;true;7775;green;false;8880;red;true;4600;green;true;5247;red;true;6408;green;false;5488;red;false;3616;black;true;8016;green;false;6847;green;true;3528;green;false;4752;red;false;5640;green;false;5632;yellow;false;5191;green;true;11440;red;true;4568;green;true;4168;yellow;false;8391;green;true;4336;red;false;12744;yellow;false;6479;green;false;10984;yellow;false;6416;black;true;12431;green;false;2840;black;true;15520;yellow;false;4807;yellow;true;5448;green;true;4983;black;true;3856;green;true;3472;green;false;5848;black;true;6927;yellow;true;13800;red;true;10607;yellow;true;9560;red;true;7256;black;true;9967;green;true;5608;red;true;20639;yellow;true;4696;red;true;8272;yellow;false;6312;black;true;6343;green;true;10536;yellow;true;12743;red;true;16696;yellow;true;3440;green;true;11143;red;true;8200;green;true;5720;yellow;true;10815;red;true;7616;green;true;6368;red;true;4728;yellow;true;5567;red;true;3104;black;true;5160;yellow;true;5640;green;true;3528;yellow;true;3504;red;false;12135;green;false;8704;red;true;4;2;6;6;2;6;2;5;5;6;2;5;4;4;2;2;3;4;2;5;2;3;2;5;5;4;3;4;5;5;4;4;4;5;2;3;4;3;3;2;4;5;4;3;4;4;3;2;5;4;4;1;195593;negative
43;M;20;2;1;1;1;3;1;1;1;2;4;1;3;1;3;1;4;5;1;4;1;40240;a;27364;a;21065;green;true;12928;red;true;17071;yellow;false;17264;red;true;12758;green;true;22626;red;false;17296;red;true;8789;yellow;true;8265;yellow;false;53439;black;true;12140;yellow;true;7772;black;true;20592;red;true;8235;yellow;true;26732;green;true;10110;black;true;31545;yellow;false;10127;green;false;3216;black;true;6625;yellow;true;16135;yellow;false;9067;yellow;true;1735;red;true;3077;black;true;12744;green;true;17642;yellow;false;8357;yellow;true;3439;red;true;3665;yellow;false;2489;black;true;3719;green;true;3128;yellow;true;6184;red;true;7111;yellow;true;3416;yellow;false;1632;red;true;1441;yellow;false;5655;yellow;true;7232;red;true;2056;green;true;2563;red;true;4166;yellow;true;5622;yellow;false;1824;black;true;16105;yellow;true;3552;green;true;3488;yellow;true;1487;red;false;3639;yellow;true;5985;red;true;2047;green;true;8961;yellow;false;3311;green;true;2600;yellow;false;3687;green;true;1635;red;false;4047;yellow;false;12558;yellow;true;11640;red;true;11218;black;true;9366;yellow;true;1600;black;true;3504;red;true;4529;yellow;true;2888;green;true;2231;black;true;10947;green;true;3113;yellow;false;3139;black;true;2905;yellow;true;8233;yellow;false;7222;yellow;true;9017;red;true;1367;black;true;2259;green;true;2429;red;true;4482;yellow;true;3294;red;true;4962;yellow;false;2096;black;true;1535;green;true;2258;yellow;true;9340;red;true;3057;yellow;true;16121;green;true;2415;red;true;1767;green;true;5087;yellow;true;10024;red;true;45816;green;true;5920;red;true;9239;yellow;true;1921;red;true;1359;black;true;6920;yellow;true;2092;green;true;2684;yellow;true;5887;yellow;true;12594;yellow;true;3214;red;true;5;5;3;3;3;3;4;3;6;2;3;3;6;3;4;5;3;4;4;3;5;3;4;2;3;3;2;2;4;3;2;4;3;2;3;4;3;4;2;5;3;2;4;4;3;4;3;4;3;2;3;4;231776;negative
