martonova;vek;pohlavie;roky praxe;povolanie;frmOdpoved_1;frmCas_1;frmOdpoved_2;frmCas_2;frmOdpoved_3;frmCas_3;frmOdpoved_4;frmCas_4;frmOdpoved_5;frmCas_5;frmOdpoved_6;frmCas_6;frmOdpoved_7;frmCas_7;frmOdpoved_8;frmCas_8;frmOdpoved_9;frmCas_9;frmOdpoved_10;frmCas_10;frmOdpoved_11;frmCas_11;frmOdpoved_12;frmCas_12;frmOdpoved_13;frmCas_13;frmOdpoved_14;frmCas_14;frmOdpoved_15;frmCas_15;frmOdpoved_16;frmCas_16;frmOdpoved_17;frmCas_17;frmOdpoved_18;frmCas_18;frmOdpoved_19;frmCas_19;frmOdpoved_20;frmCas_20;PNS1;PNS2;PNS3;PNS4;PNS5;PNS6;PNS7;PNS8;PNS9;PNS10;PNS11;PNS12;REI1;REI2;REI3;REI4;REI5;REI6;REI7;REI8;REI9;REI10;REI11;REI12;REI13;REI14;REI15;REI16;REI17;REI18;REI19;REI20;REI21;REI22;REI23;REI24;REI25;REI26;REI27;REI28;REI29;REI30;REI31;REI32;REI33;REI34;REI35;REI36;REI37;REI38;REI39;REI40
martonova;1;F;1;1;b;3265;a;1040;1;4;;;NaN;NaN;;;;;NaN;6;6;NaN;NaN;;;NaN;;NaN;;;;NaN;;NaN;;NaN;NaN;;NaN;NaN;;NaN;NaN;;NaN;;NaN;;;;NaN;;NaN;NaN;;;;;NaN
martonova;21;M;0;student;a;27716;a;21710;b;14382;b;7284;a;24533;a;7973;a;8450;a;10227;a;16816;b;6967;b;19883;b;14600;a;10107;a;6666;a;7210;a;6208;a;11743;b;11900;a;15132;a;10900;4;2;5;6;2;3;4;3;6;3;2;4;5;5;5;5;5;4;6;4;5;3;5;4;5;3;6;3;5;4;5;3;5;4;6;3;5;3;5;4;4;3;4;2;5;5;5;3;5;4;6;2
martonova;23;M;0;medik;a;191821;a;36570;b;68462;b;21930;a;14428;a;24728;a;20605;a;16352;b;18666;b;15365;a;22280;a;17931;a;25355;a;19556;a;17013;b;27663;b;36118;b;24527;a;16240;a;11881;1;2;5;6;3;4;3;3;3;4;5;2;6;4;5;5;3;2;4;4;5;5;3;3;4;3;4;3;4;5;4;4;5;4;4;3;4;2;5;2;3;2;5;2;5;4;4;3;5;3;1;4
martonova;21;F;3;študent - medicina;a;14734;a;23294;b;9451;b;8781;a;16684;a;14764;a;13982;a;18585;b;10048;b;4561;b;11968;b;14855;a;25964;b;8005;b;9696;b;12385;b;20680;b;8082;b;19768;b;7299;6;5;5;4;4;4;4;3;2;3;2;3;5;3;5;5;1;2;5;2;5;3;2;3;3;3;5;3;4;2;3;4;1;4;4;2;4;3;5;4;2;3;3;3;4;4;4;3;2;3;5;2
martonova;24;M;2;Zdr. Záchranár;a;160601;a;112892;b;39409;a;222124;a;115908;a;41629;a;82849;a;159823;a;69948;b;181015;a;25509;a;32810;a;15191;a;8733;a;6763;a;8218;b;21514;b;12500;a;89296;a;91765;5;2;2;2;1;1;5;6;3;3;1;2;5;5;2;6;5;4;5;5;6;3;5;5;6;5;5;3;6;5;3;5;6;4;2;3;3;3;5;3;5;4;5;4;5;4;4;3;5;3;4;4
martonova;33;M;14;zdravotník v OSSR;b;64666;a;17486;b;13324;b;14095;a;11779;a;11116;b;12379;b;3448;b;1680;a;1900;b;4190;b;1953;a;1869;b;1504;b;1531;a;1968;b;1444;a;1344;b;980;b;992;4;5;4;4;4;4;3;4;4;2;4;3;6;3;5;4;4;3;6;3;6;3;1;2;6;3;6;3;6;3;1;3;5;4;6;4;1;1;6;2;2;1;6;1;1;4;6;1;6;2;1;3
martonova;20;F;0;študent;b;2728;a;45039;b;11400;b;17544;a;11984;a;13624;b;31583;a;11640;a;121935;b;8584;b;25423;a;16808;b;53175;b;5992;b;14456;b;15255;b;21265;b;9568;a;20103;b;13128;4;1;3;6;1;3;2;2;2;2;2;2;5;6;4;5;5;5;5;6;5;6;3;5;2;5;5;5;5;5;2;5;4;5;5;5;4;5;5;5;6;4;4;6;3;5;3;5;3;4;4;4
martonova;21;M;0;študent;b;17928;a;37536;b;39144;b;18791;a;23128;a;9888;b;18153;a;9431;b;15625;b;10584;b;17560;b;14224;b;17048;b;6439;b;6400;b;9344;a;159263;b;3600;b;8408;b;9632;6;6;6;6;2;6;3;4;3;5;5;2;4;3;4;4;4;3;4;3;4;2;4;3;4;4;4;2;4;4;3;3;4;3;4;3;4;4;4;4;3;3;4;3;4;4;4;3;3;3;3;3
martonova;22;M;0;študent;a;17232;a;21591;a;30391;a;12264;a;10537;a;7806;a;6504;a;4641;a;2423;a;1904;a;10640;a;8152;a;7856;a;2848;a;3432;a;2540;b;32053;b;6463;a;16272;a;6400;3;5;4;4;1;1;3;2;3;2;2;4;6;5;4;6;5;6;5;5;6;6;5;5;6;3;5;2;3;5;1;4;6;6;5;5;2;4;5;3;5;4;5;1;5;5;5;5;5;6;5;3
martonova;22;F;0;študent medicíny;a;52721;a;50293;b;17481;b;8948;a;30390;a;17287;a;29148;a;22622;a;10426;b;20418;b;14163;b;13696;a;9704;a;13081;a;8448;b;10534;b;13578;b;9283;a;12811;b;16808;4;1;4;4;2;4;3;4;2;3;1;5;6;6;4;5;6;4;5;6;6;5;5;6;6;5;6;5;6;5;5;5;6;6;5;3;2;5;4;6;6;5;6;5;5;5;6;5;3;5;6;2
