10cas;12cas;16cas;19cas;24cas;30cas;44cas;60cas;62cas;66cas;69cas;74cas;80cas;94cas
3575;4624;6327;3343;2560;2584;2208;3936;2392;2376;1776;1440;3224;1664
25487;7960;5184;3248;5783;2545;8192;7136;3752;1512;2159;3441;1642;1560
14607;40670;8903;10199;5824;6688;6160;7831;6584;4239;4432;7279;2752;2120
13047;3504;3320;3232;6376;3080;2792;12919;1936;1488;2480;1904;2807;2792
5647;4040;10571;14711;7968;8064;2800;12680;9224;1896;4464;1888;4928;1992
3984;2967;2168;4704;2552;3248;2031;10104;2152;6280;3777;3760;3680;3464
7933;13849;4631;3282;4617;4612;3250;9445;4833;3243;4434;9316;6034;2517
5704;4288;1911;2592;3008;2672;1728;2719;1888;1607;1664;1976;1632;1712
3936;5808;2096;6192;2328;1928;1368;7176;1160;1728;1432;1415;1680;872
2071;1432;1296;17103;1280;3168;1176;4608;1888;1432;1408;2576;1408;1248
4216;11367;7391;1968;1736;2224;1984;1576;1456;1472;2272;1200;1448;1200
