;1cas;3cas;5cas;15cas;17cas;25cas;29cas;31cas;35cas;37cas;40cas;46cas;51cas;53cas;55cas;65cas;67cas;75cas;79cas;81cas;85cas;87cas;90cas;96cas
;12344;12479;29990;10807;10296;5784;6463;3288;2744;2792;1744;2224;1863;1968;2064;1896;4416;1856;5064;3000;2992;4367;1624;1984
;14175;3456;3009;2336;3664;3112;9447;751;2304;2160;10783;2856;3824;1800;1528;4504;1264;1472;1856;1390;1664;1624;2346;991
;28175;16175;9528;14992;8856;9848;7439;10880;7975;5527;8928;3783;5655;4191;5112;2416;3215;3872;10296;3352;2464;5424;3439;3112
;5216;3336;9968;2272;2488;2744;3832;3080;5776;5016;2831;3872;4608;2792;9912;2376;2328;3768;4920;2121;2752;3240;2888;2232
;17943;11415;9408;4080;10183;8624;5232;6743;7528;4032;8080;3504;2168;5048;4808;4327;2272;5664;13336;5239;2920;3608;2951;1400
;13728;8215;2840;3944;4160;4280;5376;2992;4192;6600;3248;3600;3264;6799;3120;7663;6216;4376;7008;9151;4791;3304;3496;4992
;6560;4952;5014;4567;3585;4384;4615;8536;3083;2882;1900;2601;5750;8269;2464;2590;5098;2733;6144;2199;2039;2525;2249;4560
;3591;3080;1712;2793;2696;1799;3480;6776;3311;2768;2176;2032;1488;2136;1952;1744;2064;1736;1664;1719;1576;1679;3104;1696
;20087;15128;10888;21399;4464;19295;4888;8080;6144;4080;14352;4136;2576;9024;4920;8295;12376;9760;11055;1992;17464;2768;32031;1536
;2448;1296;1192;2008;2920;1592;1392;1968;2200;1591;1320;1256;1416;1040;1032;1584;1216;5392;2656;1856;1816;1248;1376;1472
;12191;7391;2008;4264;6184;2496;5872;3288;5480;2032;2784;3760;1600;1552;1528;1592;3432;2640;4440;1991;1872;4456;2073;4392
