2cas;4cas;7cas;9cas;13cas;18cas;21cas;23cas;26cas;28cas;33cas;36cas;39cas;41cas;43cas;50cas;52cas;54cas;57cas;59cas;63cas;68cas;71cas;73cas;76cas;78cas;83cas;86cas;89cas;91cas;93cas;100cas
3303;1367;2352;2687;2880;1656;2576;4384;1648;2119;1287;1720;4927;2240;1927;1504;1888;2016;1856;2040;1327;1048;3753;1560;1936;2760;1279;1576;1664;2352;1192;1280
8432;4103;1400;2073;8824;4224;3128;26479;8416;1704;13536;7864;7480;16567;1328;5448;12967;2296;5416;1104;2512;4384;4968;26599;1600;41087;3063;2624;1768;5592;880;1432
4480;4079;4728;3104;5848;4728;3263;4784;2552;3960;8095;4592;3087;2848;3999;2496;13639;2256;2112;2480;6527;3240;3736;4152;2448;3432;5129;3703;2712;2736;1703;2552
2888;1464;2511;1120;1256;1368;1320;3152;1872;1592;1584;1696;1048;1104;2007;1400;6727;1688;1712;1088;792;2024;1064;1984;1728;1200;1440;1344;1296;1584;1552;1152
11631;11191;9800;4168;7168;18439;9103;3104;6407;1463;1400;2328;2400;4632;16424;4119;2624;2000;5218;11087;12760;2032;6351;1488;1248;1228;1888;2080;1272;1792;976;1272
10247;8160;12407;7016;6424;9839;11928;7736;6279;8232;5720;4744;9368;6600;3760;5943;7272;4168;4456;5488;4632;2384;3167;5296;2784;3504;2840;4688;3872;5320;3368;4832
17583;12783;14327;10807;16023;23080;9784;16423;20775;15599;6303;26087;8039;14311;5600;4056;5023;8216;8575;12575;7743;9631;14281;6856;5000;4288;3664;6840;5496;7419;4272;3704
9720;6208;3784;7816;6080;5271;3104;3368;2463;1880;4104;5296;5528;3984;2928;4432;80;4112;3528;4296;5999;4896;7143;4768;10656;4392;6951;6544;5010;5112;3792;3976
12038;9895;7399;7047;3943;4920;6496;2729;2056;6480;1608;1920;1672;4480;2240;1040;1951;1272;944;440;4608;2688;2048;880;1495;1272;1704;1504;1775;704;1336;936
9336;21055;17979;12446;13894;46369;8150;34692;11772;10200;5428;8127;25381;6993;51687;10471;10154;21187;21205;20886;8020;5104;7944;4634;8815;3830;4872;8002;4203;3945;5418;5551
14302;10535;17462;10311;9402;7287;9551;17951;9903;7487;18462;5648;8391;6151;4032;6480;4695;7184;4912;9279;6821;5735;7951;16231;15711;14167;12863;15199;8649;6192;6512;8456
7903;7640;6631;4928;6816;5480;5640;3256;3464;11416;4415;4616;2280;5776;3648;3464;27599;2784;3280;3241;2544;4088;2576;3711;2136;2695;3336;3519;2600;1816;3048;2504
17048;21856;28352;22136;15583;16423;4863;7176;5832;8896;7168;5464;6370;19120;4552;5568;3328;5576;8233;3000;5904;24000;4807;8072;20504;4280;7360;2167;6472;8344;3280;3680
3695;2000;4096;2360;6424;3712;4343;4008;3335;2696;3512;2568;2871;2416;2792;3536;9704;2192;3936;5519;11271;1912;3160;2960;4640;3496;2272;2920;2288;3040;3496;2544
9399;7488;6240;13264;10720;10759;8360;3615;4432;2912;3344;4000;3392;3119;5832;5792;4711;2544;17304;8288;4928;2336;3352;2800;2448;2496;2376;2928;2872;1896;3160;2088
7421;5025;5816;8743;8042;16731;6704;13168;6869;4175;8490;5535;5735;3640;2841;2466;4480;3709;2269;3665;2874;4784;3560;9257;4752;1925;3329;2094;3562;2537;3781;1154
2855;4263;4960;2328;4496;5255;4496;5112;3088;2215;5400;3552;10072;2471;3319;1928;4640;6856;4752;4816;11175;5823;5144;3328;4720;7512;5432;7168;2261;2792;1650;2448
53885;61221;8608;50086;11271;16663;17039;24295;16447;3752;7040;7040;6128;6640;6424;6991;14392;5168;8631;10168;6760;13576;23127;5967;3816;3192;5720;8463;2448;9744;7992;3384
7287;6056;5968;4528;10712;6640;3392;2488;2944;3056;3328;5720;2808;4136;6872;3896;6080;2351;4232;5120;2152;4912;1360;5320;4208;4225;3200;2175;5136;3544;5320;5856
5447;10184;4648;4886;5736;5248;2584;3672;3271;4080;2488;1704;4392;1112;4472;1745;5192;3968;2537;2336;5648;2023;1904;2512;1704;2064;1807;1912;1224;2440;1760;2376
20719;5608;54038;6055;6976;9888;3751;14679;6487;6128;3640;8576;7168;4792;6968;10464;21959;15351;14639;5888;9472;14896;4160;7928;4504;6496;6312;4784;5696;6807;4096;5200
