;2cas;4cas;7cas;9cas;13cas;18cas;21cas;23cas;26cas;28cas;33cas;36cas;39cas;41cas;43cas;50cas;52cas;54cas;57cas;59cas;63cas;68cas;71cas;73cas;76cas;78cas;83cas;86cas;89cas;91cas;93cas;100cas
;16135;4496;5960;7968;7815;5295;4832;7416;8279;7289;9175;7679;5143;10976;3384;3704;7032;6856;4216;3088;3256;3975;8519;3592;4648;4447;5128;3000;4920;5288;3144;2567
;21686;6559;11887;8911;4592;6304;8447;4024;7751;8248;5023;8495;14615;5336;7359;3896;7967;5703;8264;8567;6648;5960;3288;2712;7193;7023;5048;3808;2261;2824;3840;2472
;63452;15551;6440;10472;3063;12975;24110;16455;8527;14575;15375;10016;5576;6119;6703;8343;10920;6240;15656;5392;5583;7872;4064;4976;6176;3975;17351;5695;2472;7600;3351;4487
;9855;4440;15351;6312;15727;2912;3128;3984;6200;3400;4496;5080;2560;2824;2728;2696;13104;2615;6664;1824;12368;3416;3112;2544;3104;2960;2464;3416;2536;3423;2792;2088
;14824;16903;12640;16967;24183;11920;10559;11959;8751;18383;6696;5248;4920;5320;12103;3688;7103;4784;7215;6863;8840;4392;5271;4232;14735;12735;7136;7272;27799;5000;4568;6472
;5664;3144;4303;7192;5416;4711;5840;4655;4496;3799;7424;4808;4048;3872;4312;5248;8520;7600;6263;9479;2704;7927;8584;4359;9111;5360;6184;4704;9663;5848;4983;4328
;11649;6765;36098;20300;15683;15400;9548;5717;8715;17451;8316;4651;5362;7433;7621;5017;4398;4783;11402;7888;17036;16917;8585;6239;4617;5056;6357;5970;3951;5115;6683;3734
;3832;2919;3776;2712;2424;6159;4983;4992;4976;2591;4440;3928;3824;2040;2095;3024;3104;3783;5247;4376;1776;3464;2375;2688;4535;2088;2864;3776;1744;1872;1952;2784
;14271;29999;3671;4680;4071;5424;4528;3712;3184;14479;10511;3616;6199;4064;1495;1432;6727;18247;5776;10023;3464;5384;6223;12011;8440;2104;11296;3728;3288;2768;872;2832
;3384;3040;2816;2480;1512;5808;1368;4147;2904;2608;1248;3800;2400;1272;2768;1808;1056;1496;1215;1759;2536;2312;2184;952;2440;1616;2520;1832;2408;1128;4012;1760
;17400;6024;6416;3736;9064;12648;6639;6776;7751;9584;4120;3296;8007;8224;3384;5064;6047;3768;5744;8912;7728;8607;10384;4095;16432;2176;3152;2896;3192;5335;4480;1864
