;6cas;8cas;11cas;14cas;20cas;22cas;27cas;32cas;34cas;38cas;42cas;45cas;47cas;48cas;49cas;56cas;58cas;61cas;64cas;70cas;72cas;77cas;82cas;84cas;88cas;92cas;95cas;97cas;98cas;99cas
;6480;11279;11144;5184;5776;7671;6504;4968;10192;9512;8735;7200;5975;3824;5824;3695;5960;5647;2056;8752;4208;3200;3807;3200;6368;2527;3072;4088;4016;2792
;19078;4552;3703;2919;8079;6720;3696;2728;7968;3992;7672;10967;5585;18605;4072;4040;2448;2839;4295;6016;3472;2502;4368;2119;3736;4352;2160;2624;2760;2768
;6951;17279;18935;18119;12073;14439;10048;12431;7800;6128;4976;14120;7000;4967;5673;4687;7799;7336;7216;4935;5640;17319;5183;9952;7384;6136;11583;6880;3488;4808
;7368;3368;6520;3456;3895;3664;4503;4904;5655;5160;4416;3760;2696;3791;2672;3232;4104;5088;2567;4784;3463;3088;3751;2800;4384;4424;2872;4248;2896;3879
;18791;24359;18480;5687;9864;5496;9280;5720;11383;3007;3168;2552;7927;2848;10096;3312;10160;9863;4616;8272;1920;7000;5048;7183;9472;2736;4407;2144;3296;7128
;4424;3704;5408;3672;5008;4080;3984;3696;11735;3831;3184;5272;5152;4552;6095;4440;5273;6295;9520;6199;4048;4184;4712;4984;8544;9152;10656;13079;3504;6464
;14452;9099;12632;12699;7852;14549;16767;10900;7133;11738;9049;9895;12533;2652;12113;1802;6897;12799;14647;18347;3944;4299;11115;7559;3532;6168;11109;5598;5406;6442
;1752;3247;5007;2863;3184;3032;2032;2287;2080;6023;1736;2072;2208;1408;1991;5064;4632;1576;2256;2424;2720;1800;1576;1488;1832;1711;2464;1848;1568;3631
;4648;2920;8248;11144;13751;7040;4456;4696;6344;3136;1816;5288;3688;3952;5368;5320;5744;3632;2168;4040;33711;2712;6288;7303;15167;3712;5215;2360;2392;7200
;2520;2296;9432;2688;41383;2396;1032;1448;1248;1688;1128;1888;1576;1600;1664;1312;1969;2264;2032;2016;1079;1712;1696;1072;1359;2452;1024;1856;1376;1480
;10576;7615;11152;6816;3408;7264;5920;12671;3304;2008;7080;3263;2256;5400;8384;2376;6063;3200;2888;5928;1688;2376;7424;4072;5679;5336;6496;3095;2960;8264
