;6cas;8cas;11cas;14cas;20cas;22cas;27cas;32cas;34cas;38cas;42cas;45cas;47cas;48cas;49cas;56cas;58cas;61cas;64cas;70cas;72cas;77cas;82cas;84cas;88cas;92cas;95cas;97cas;98cas;99cas
;1663;1704;1376;1360;1672;1840;1080;984;881;3016;3688;2344;2175;2576;1632;1679;3223;2280;1201;1328;2943;1264;2768;1281;1600;3552;1511;1240;1576;1664
;1656;2000;10552;7759;3672;4080;2672;1544;1672;4952;2400;4472;2000;1192;1664;1192;1864;6672;2920;2944;3624;1608;3439;1784;3080;1696;1896;1097;944;2568
;5232;3887;3880;4568;3008;2544;3936;4912;5184;1969;4624;3032;4496;2175;2736;1152;1647;3832;1904;4255;6464;1680;1971;5830;1872;3216;3784;1184;1040;4039
;1264;2376;1272;1320;1279;1576;2184;1504;1200;1144;1192;1912;1432;2232;2416;1248;2256;1088;1247;1456;2360;2191;904;1640;1192;1240;2720;856;1352;2856
;18294;8239;7112;6191;7192;36134;2873;4768;3007;6895;13799;12640;6512;2880;1976;4952;61564;5824;2551;14784;1240;2132;5999;2008;1344;1336;1680;1144;808;880
;5984;5152;8368;5352;5144;3584;5264;3992;5472;3976;5911;9136;3080;1344;3056;4320;3600;3864;2976;3760;3808;3024;3104;2487;4880;2048;4359;2864;4040;3144
;7632;9544;7208;6991;6927;5704;5848;5640;8488;7056;8616;9520;8584;5088;7944;4607;17616;8864;6016;25623;4247;5015;6375;9128;12936;4832;9144;6001;4535;8088
;2152;4152;3672;2480;6015;3856;5216;3360;4384;8408;3303;6032;3648;1448;15079;1656;8544;96;4768;4456;2864;10327;5127;5216;7735;4360;3991;3496;1976;1560
;7128;5496;5088;3656;2943;2304;2696;1488;2728;1367;1856;10840;1728;848;840;864;1408;1469;2224;1928;1344;1072;1872;1528;3016;2296;2040;896;1312;944
;21703;12284;10799;10199;19007;6553;20714;8816;7765;11689;9687;5917;13205;6041;10839;15828;13797;11237;11305;7314;3926;7008;11261;5700;8156;8151;5932;6839;4524;5423
;13431;9919;17655;5887;13535;10487;7280;11543;7912;7759;5504;4303;5439;6464;15814;4519;9471;7959;4631;2984;6232;5639;3920;7184;2830;4319;6239;4640;7167;7152
;4576;5208;3152;3885;3232;3304;4408;3416;5344;3160;1256;2552;2112;2424;2464;2296;8735;2928;3015;2024;2176;2680;2376;2088;2216;2664;2399;1944;2352;2088
;10871;17471;5072;7664;43544;56255;38519;14695;6672;27375;10120;20264;2968;2760;14855;6511;4023;19240;5664;6640;6712;8727;3064;8752;7112;15647;4352;1864;5144;3512
;2040;3160;2647;2552;4856;4144;2680;4592;3680;5328;2640;2560;2696;2112;3920;2959;4896;2848;2208;1792;3472;3016;3360;3248;2296;3103;6104;3159;1712;2816
;5008;10095;7048;3767;5384;8952;6727;3880;3112;3504;4192;4000;3336;5799;5368;3688;4047;4304;4407;3240;4535;3008;3120;3584;2984;2264;3096;2232;4328;5119
;7648;10615;7818;5702;3656;6352;4489;3225;3116;2623;5143;7935;2503;1872;3000;1602;4993;3160;2542;3639;3144;2528;1856;1319;2257;2658;2651;1018;1270;1103
;6470;9079;4288;3416;8128;6303;2728;3752;7680;2503;4697;3376;6088;5199;3704;2103;5232;6016;3400;3328;3600;5439;2288;6008;1335;2640;7014;3903;3720;4272
;20527;31559;13664;8624;12544;14679;42095;13904;5583;15671;2951;4216;3183;3032;13416;8216;8824;7256;5032;7096;3440;3632;8099;6144;11176;4536;4407;14504;2160;74469
;6200;6104;10632;2776;4743;4360;3632;2416;2304;9984;2360;4240;2552;2426;2806;1368;2848;2360;3104;2368;2824;4968;1256;3369;5671;1552;5904;2080;1768;1304
;1839;7506;3400;5080;1176;6464;2416;2296;3296;4928;2528;1312;2207;3200;2216;1791;4927;2992;1336;1296;1664;2352;1944;3025;3504;1296;1687;1120;930;1101
;4528;8720;9463;3688;4632;11480;7752;6175;2240;10383;16775;8720;7056;4464;9447;2544;5296;9799;8256;4775;2048;3784;7648;4424;12472;4768;5224;10944;4688;6823
;6735;11824;7695;6591;6168;7360;9991;8503;6177;9480;3671;4872;4063;14903;6968;6544;6288;12018;7312;5224;3112;5856;10432;5224;11008;2376;3224;5032;4871;3241
;2695;3288;3296;2647;2704;1200;1416;1615;1392;4416;1056;1608;936;1112;1248;1256;4215;1464;2984;1392;1176;1280;832;1087;2560;2216;1336;1944;1239;20191
;1480;2520;5184;2080;3024;2000;1696;1816;1816;2144;1872;2312;2136;2072;1544;1776;1752;3160;1776;3128;2248;1984;1656;1552;1775;1528;1776;1328;1800;1592
;34600;7184;5336;12600;5671;8040;4360;6560;3048;4152;6896;4040;14439;3640;12360;4752;3728;4616;3736;4952;3120;5296;6712;7328;3960;3568;3288;2448;3704;5000
;6391;11620;7744;3609;4145;6967;5656;4915;8362;6409;4279;11065;4873;1947;3749;2711;9193;6017;4096;6559;3825;12058;12901;7576;9309;4792;7450;5151;1296;3975
